厑 aesi
扒 pa
捌 ba
朳 ba
玐 ba
疤 ba
笆 ba
粑 ba
紦 ha
羓 ba
芭 ba
芭 pa
豝 ba
釟 ba
魞 ba
鲃 ba
叐 ba
坺 ba
坺 bo
墢 ba
墢 bo
墢 fei
妭 ba
抜 ba
拔 ba
拔 bei
炦 ba
犮 ba
秡 ba
笩 pei
胈 ba
茇 ba
茷 fa
茷 fei
菝 ba
菝 bi
詙 ba
跋 ba
跋 bei
軷 ba
鈸 ba
鈸 bo
钹 ba
钹 bo
颰 ba
馛 ba
魃 ba
鼥 ba
把 ba
欛 ba
鈀 ba
鈀 pa
钯 ba
钯 pa
靶 ba
䰾 ba
坝 ba
垻 ba
壩 ba
弝 ba
灞 ba
爸 ba
猈 ba
罢 ba
罢 pi
罷 ba
罷 pi
耙 ba
耙 pa
覇 ba
覇 po
霸 ba
鮁 ba
鮁 bo
鮊 ba
鮊 bo
鲅 ba
鲅 bo
鲌 ba
鲌 bo
杷 ba
杷 pa
掰 bai
白 bai
䙓 bai
佰 bai
佰 bo
兡 baike
捭 bai
摆 bai
擺 bai
栢 bai
栢 bo
百 bai
矲 bai
粨 bai
絔 bai
襬 bai
呗 bai
呗 bei
唄 bai
唄 bei
庍 bai
拜 bai
拝 bai
敗 bai
稗 bai
粺 bai
薭 bai
蛽 bai
贁 bai
败 bai
鞁 bei
鞁 tuo
扳 ban
扳 pan
搬 ban
攽 ban
攽 bin
斑 ban
斒 ban
朌 ban
朌 fen
班 ban
瘢 ban
癍 ban
肦 ban
肦 fen
般 ban
虨 ban
螌 ban
螌 pan
褩 ban
辬 ban
頒 ban
颁 ban
坂 ban
岅 ban
昄 ban
板 ban
版 ban
瓪 ban
粄 ban
舨 ban
蝂 ban
鈑 ban
钣 ban
闆 ban
阪 ban
伴 ban
伴 pan
办 ban
半 ban
姅 ban
怑 ban
扮 ban
拌 ban
拌 pan
柈 pan
湴 ban
瓣 ban
秚 ban
絆 ban
绊 ban
辦 ban
鉡 ban
靽 ban
垹 bang
帮 bang
幇 bang
幚 bang
幫 bang
捠 bang
梆 bang
浜 bang
浜 bin
縍 bang
邦 bang
邫 bang
鞤 bang
挷 bang
挷 peng
搒 bang
搒 peng
榜 bang
氆 bang
氆 pu
牓 bang
綁 bang
绑 bang
膀 bang
髈 bang
傍 bang
傍 pang
塝 bang
棒 bang
棓 bang
棓 bei
棓 pou
磅 bang
磅 pang
稖 bang
艕 bang
蒡 bang
蒡 pang
蚌 bang
蚌 beng
蜯 bang
謗 bang
谤 bang
鎊 bang
鎊 pang
镑 bang
镑 pang
剥 bao
剥 bo
剥 pu
勹 bao
包 bao
孢 bao
枹 bao
枹 fu
煲 bao
笣 bao
胞 bao
苞 bao
苞 biao
苞 pao
蕔 bao
褒 bao
襃 bao
闁 bao
齙 pao
龅 pao
嫑 bao
瓝 bo
窇 bao
薄 bao
薄 bo
雹 bao
雹 bo
保 bao
堡 bao
堡 bu
堡 pu
堢 bao
媬 bao
宝 bao
宲 bao
寚 bao
寳 bao
寶 bao
怉 bao
珤 bao
緥 bao
葆 bao
褓 bao
賲 bao
靌 bao
飽 bao
饱 bao
駂 bao
鳵 bao
鴇 bao
鸨 bao
儤 bao
刨 bao
刨 pao
勽 bao
嚗 bo
報 bao
忁 bao
报 bao
抱 bao
暴 bao
暴 pu
曓 bao
爆 bao
犦 bao
犦 bo
菢 bao
虣 bao
蚫 piao
袌 bao
豹 bao
趵 bao
趵 bo
鉋 bao
鉋 pao
鑤 bao
鑤 pao
铇 bao
铇 pao
骲 bao
鮑 bao
鮑 pao
鲍 bao
鲍 pao
伓 bei
俾 bi
偝 bei
卑 bei
埤 bei
埤 bi
埤 pi
悲 bei
揹 bei
杯 bei
桮 bei
椑 bei
椑 pi
盃 bei
碑 bei
禆 bei
綼 bei
綼 bi
萆 pi
藣 bei
裨 bi
裨 pi
錃 bei
陂 bei
鵯 bei
鹎 bei
北 bei
鉳 bei
俻 bei
倍 bei
偹 bei
備 bei
僃 bei
哱 bo
备 bei
奰 bi
孛 bei
孛 bo
悖 bei
悖 bo
惫 bei
愂 bei
憊 bei
昁 bei
杮 bei
杮 fei
梖 bei
焙 bei
牬 bei
犕 bei
狈 bei
狽 bei
珼 bei
琲 bei
碚 bei
碚 pei
糒 bei
紴 bei
背 bei
蓓 bei
被 bei
褙 bei
誖 bei
誖 bo
貝 bei
贝 bei
軰 bei
輩 bei
辈 bei
邶 bei
郥 bei
鄁 bei
鋇 bei
鐴 bi
鐾 bei
鐾 bi
钡 bei
鞴 bei
韛 bei
倴 ben
奔 ben
栟 ben
栟 bing
泍 ben
渀 ben
犇 ben
賁 ben
賁 bi
贲 ben
贲 bi
逩 ben
錛 ben
锛 ben
夲 ben
夲 tao
奙 ben
本 ben
楍 ben
畚 ben
苯 ben
坌 ben
捹 ben
撪 ben
桳 ben
燌 ben
燌 fen
獖 ben
獖 fen
笨 ben
輽 ben
伻 beng
嘣 beng
塴 beng
奟 keng
崩 beng
嵭 beng
弸 peng
祊 beng
絣 beng
絣 bing
綳 beng
繃 beng
绷 beng
閍 beng
甭 beng
甭 qi
埲 bang
埲 beng
玤 bang
玤 beng
琫 beng
菶 beng
菶 peng
誁 beng
鞛 beng
堋 beng
堋 peng
槰 beng
泵 beng
洴 ping
熢 feng
甏 beng
甏 peng
跰 beng
跰 pian
蹦 beng
迸 beng
迸 bing
迸 peng
逬 beng
鏰 beng
镚 beng
偪 bi
屄 bi
悂 pi
毴 bi
皀 bi
皀 ji
稫 bi
螕 bi
豍 bi
逼 bi
鲾 bi
荸 bi
荸 bo
鼻 bi
佊 bi
匕 bi
吡 bi
啚 bi
啚 tu
夶 bi
妣 bi
彼 bi
朼 bi
柀 bi
比 bi
沘 bi
疕 bi
秕 bi
笔 bi
筆 bi
粃 bi
纰 bi
纰 pi
舭 bi
舭 que
貏 bi
鄙 bi
魮 bi
魮 pi
佖 bi
哔 bi
嗶 bi
坒 bi
堛 bi
壁 bi
妼 bi
婢 bi
嫳 pie
嬖 bi
币 bi
幣 bi
幤 bi
庇 bi
庳 bei
庳 bi
廦 bi
弊 bi
弻 bi
弼 bi
彃 bi
必 bi
怭 bi
愊 bi
愎 bi
払 fu
敝 bi
斃 bi
朇 pi
枈 bi
柫 fu
柲 bi
梐 bi
楅 bi
檘 bi
毕 bi
毖 bi
毙 bi
泌 bi
泌 mi
湢 bi
滗 bi
滭 bi
潷 bi
濞 bi
濞 pi
煏 bi
熚 bi
狴 bi
獘 bi
獙 bi
珌 bi
璧 bi
畀 bi
畁 bi
畁 qi
畐 fu
畢 bi
疪 bi
痹 bi
痺 bei
痺 bi
皕 bi
碧 bi
筚 bi
箄 bei
箄 bi
箄 pai
箅 bi
箆 bi
篦 bi
篦 pi
篳 bi
粊 bi
縪 bi
罼 bi
聛 bi
腷 bi
臂 bei
臂 bi
芘 bi
芘 pi
苾 bi
荜 bi
蓖 bi
蓽 bi
蔽 bi
蔽 fu
薜 bi
蜌 bi
袐 bi
襒 bie
襞 bi
襣 bi
觱 bi
詖 bi
诐 bi
貱 bi
贔 bi
赑 bi
跸 bi
蹕 bi
躃 bi
躄 bi
辟 bi
辟 pi
避 bi
邲 bi
鄨 bi
鄪 bi
鉍 bi
鉍 se
鎞 bi
鎞 pi
鏎 bi
铋 bi
铋 se
閇 bi
閉 bi
閟 bi
闢 pi
闭 bi
陛 bi
鞸 bi
韠 bi
飶 bi
饆 bi
馝 bi
駜 bi
驆 bi
骳 bei
骳 bi
髀 bi
魓 bi
鮅 bi
鰏 bi
鵖 bi
鷝 bi
鷩 bi
鼊 bi
柉 fan
楄 pian
煸 bian
牑 bian
猵 bian
獱 bian
獱 pian
甂 bian
砭 bian
稨 bian
笾 bian
箯 bian
籩 bian
糄 bian
編 bian
编 bian
蝙 bian
蝙 pian
边 bian
辺 bian
邉 bian
邊 bian
鍽 bian
鞭 bian
鯾 bian
鯿 bian
鳊 bian
匾 bian
惼 bian
扁 bian
扁 pian
碥 bian
窆 bian
萹 bian
藊 bian
褊 bian
褊 pian
貶 bian
贬 bian
便 bian
便 pian
卞 bian
变 bian
変 bian
弁 bian
弁 pan
徧 bian
忭 bian
抃 bian
抃 pan
揙 bian
昪 bian
汳 bian
汴 bian
炞 bian
玣 bian
緶 bian
緶 pian
缏 bian
缏 pian
艑 bian
苄 bian
覍 bian
覍 pan
變 bian
辡 bian
辧 bian
辨 bian
辩 bian
辫 bian
辮 bian
辯 bian
遍 bian
釆 bian
釆 cai
閞 bian
鴘 bian
僄 piao
儦 biao
墂 biao
幖 biao
彪 biao
徱 biao
徱 piao
摽 biao
摽 piao
杓 biao
杓 shao
标 biao
標 biao
滮 biao
瀌 biao
灬 biao
灬 hou
熛 biao
爂 biao
猋 biao
瘭 biao
磦 biao
穮 biao
羆 pi
脿 biao
膘 biao
膘 piao
臕 biao
蔈 biao
蔈 piao
藨 biao
藨 pao
藨 piao
謤 biao
贆 biao
鏢 biao
鑣 biao
镖 biao
镳 biao
颩 biao
颩 diu
颮 biao
颮 pao
颷 bi
飆 biao
飇 biao
飈 biao
飍 biao
飍 xiu
飑 biao
飑 pao
飙 biao
飚 biao
驃 biao
驃 piao
驫 biao
骉 biao
骠 biao
骠 piao
髟 biao
麃 biao
麃 pao
婊 biao
檦 biao
表 biao
裱 biao
褾 biao
諘 biao
錶 biao
俵 biao
鰾 biao
鳔 biao
憋 bie
瘪 bie
瘪 pie
癟 bie
癟 pie
虌 bie
鱉 bie
鳖 bie
鼈 bie
龞 bie
別 bie
别 bie
咇 bi
徶 bie
莂 bie
蟞 bie
蹩 bie
蛂 bie
彆 bie
傧 bin
儐 bin
宾 bin
彬 bin
斌 bin
梹 bin
梹 bing
椕 bin
槟 bin
槟 bing
檳 bin
檳 bing
汃 bin
汃 pa
滨 bin
濒 bin
濱 bin
濵 bin
濹 me
瀕 bin
玢 bin
玢 fen
瑸 bin
瑸 pian
璸 bin
矉 bin
矉 pin
穦 pin
繽 bin
缤 bin
蠙 bin
蠙 pin
豩 bin
豳 bin
賓 bin
賔 bin
邠 bin
鑌 bin
镔 bin
霦 bin
顮 bin
馪 bin
驞 bin
摈 bin
擯 bin
殡 bin
殯 bin
膑 bin
臏 bin
髌 bin
髕 bin
髩 bin
鬂 bin
鬓 bin
鬢 bin
鶣 pian
仌 bing
傡 bing
兵 bing
冫 bing
冰 bing
掤 bing
氷 bing
竝 bang
竝 bing
丙 bing
庰 ding
廪 bing
廪 lan
廪 lin
怲 bing
抦 bing
昞 bing
昺 bing
柄 bing
棅 bing
炳 bing
琕 bing
琕 pin
癝 bing
癝 lin
眪 bing
禀 bing
秉 bing
稟 bing
窉 bing
苪 bing
蛃 bing
邴 bing
鈵 bing
鉼 bing
陃 bing
鞞 bi
鞞 bing
鞞 pi
餅 bing
餠 bing
饼 bing
並 bing
併 bing
倂 bing
偋 bing
寎 bing
并 bing
幷 bing
摒 bing
栤 bing
病 bing
靐 bing
鮩 bing
鵧 bing
鵧 ping
剝 bao
剝 bo
剝 pu
啵 bo
岥 po
嶓 bo
彂 bo
彂 fa
拨 bo
拨 fa
撥 bo
撥 fa
播 bo
柭 bo
波 bo
玻 bo
癶 bo
盋 bo
砵 bo
碆 bo
缽 bo
菠 bo
袚 bo
袚 fu
襏 bo
蹳 bo
鉢 bo
钵 bo
餑 bo
饽 bo
驋 bo
髉 bo
鱍 bo
亳 bo
伯 bai
伯 bo
侼 bo
僰 bo
勃 bo
博 bo
嶏 bo
帛 bo
愽 bo
懪 bo
挬 bo
搏 bo
敀 bo
柏 bai
柏 bo
桲 bo
桲 po
檗 bi
檗 bo
欂 bo
泊 bo
泊 po
泺 bo
泺 li
泺 luo
泺 po
浡 bo
渤 bo
煿 bo
牔 bo
犻 bo
猼 bo
猼 po
礡 bo
礴 bo
箔 bo
簙 bo
糪 bo
胉 bo
脖 bo
膊 bo
膊 lie
膊 po
舶 bo
艊 bo
苩 bo
葧 bo
袯 bo
襮 bo
謈 bo
踄 bo
踣 bo
踣 pou
郣 bo
鉑 bo
鋍 bo
鎛 bo
鑮 bo
铂 bo
镈 bo
餺 bo
馎 bo
馞 bo
駁 bo
駮 bo
驳 bo
髆 bo
鵓 bo
鸔 bao
鹁 bo
箥 bo
簸 bo
蚾 bo
跛 bi
跛 bo
跛 po
駊 bo
駊 po
孹 bo
挀 bo
擗 pi
擘 bo
疈 bo
疈 pi
繴 bi
繴 bo
蘗 bo
譒 bo
卜 bo
卜 bu
噃 fan
蔔 bo
蔔 bu
峬 bu
庯 bu
晡 bu
逋 bu
鈽 bu
钸 bu
餔 bu
鵏 bu
不 bu
醭 bu
醭 pu
卟 bu
哺 bu
捕 bu
獛 pu
补 bu
補 bu
鳪 bu
佈 bu
勏 pou
咘 bu
埔 bu
埔 pu
埗 bu
埠 bu
布 bu
怖 bu
悑 bu
捗 bu
步 bu
歨 bu
歩 bu
瓿 bu
瓿 pou
篰 bu
簿 bo
簿 bu
荹 bu
蔀 bu
蔀 pou
部 bu
部 pou
郶 bu
鈈 bu
鈈 pi
钚 bu
钚 pi
餢 bu
傪 can
嚓 ca
擦 ca
礤 ca
囃 ca
偲 si
猜 cai
睵 zai
才 cai
材 cai
溨 cai
纔 cai
裁 cai
財 cai
财 cai
䌽 cai
倸 cai
婇 cai
寀 cai
彩 cai
採 cai
棌 cai
睬 cai
綵 cai
跴 cai
踩 cai
踩 kui
采 cai
埰 cai
縩 cai
菜 cai
蔡 cai
参 can
参 san
参 shen
參 can
參 san
參 shen
叄 can
叄 san
叄 shen
叅 can
叅 cen
喰 can
歺 dai
湌 can
蓡 can
蓡 shen
謲 can
飡 can
飡 sun
餐 can
餐 sun
驂 can
骖 can
鯵 shen
鰺 can
鰺 sao
鰺 shen
嬠 can
嬱 can
惭 can
慙 can
慚 can
残 can
殘 can
蚕 can
蚕 tian
蝅 can
蠶 can
蠶 tian
蠺 can
噆 zan
惨 can
慘 can
憯 can
朁 can
黪 can
黲 can
孱 can
孱 chan
摻 can
摻 chan
摻 shan
摻 xian
澯 can
灿 can
燦 can
璨 can
粲 can
薒 can
仓 cang
仺 cang
伧 cang
伧 cheng
倉 cang
傖 cang
傖 cheng
凔 cang
嵢 cang
沧 cang
滄 cang
舱 cang
艙 cang
苍 cang
蒼 cang
螥 cang
鶬 cang
鸧 cang
匨 cang
匨 zang
蔵 cang
蔵 zang
藏 cang
藏 zang
鑶 cang
賶 cang
喿 sao
撡 cao
操 cao
糙 cao
鄵 cao
嘈 cao
嶆 cao
曹 cao
曺 cao
槽 cao
槽 zao
漕 cao
艚 cao
蓸 cao
螬 cao
褿 cao
鏪 cao
愺 cao
懆 cao
艸 cao
艸 zao
艹 ao
草 cao
騲 cao
肏 cao
襙 cao
侧 ce
侧 ze
側 ce
側 ze
冊 ce
册 ce
厕 ce
厠 ce
墄 qi
嫧 ce
廁 ce
恻 ce
惻 ce
憡 ce
拺 ce
敇 ce
测 ce
測 ce
畟 ce
矠 ce
笧 ce
策 ce
筞 ce
筴 ce
筴 jia
箣 ce
粣 ce
粣 san
茦 ce
荝 ce
荝 ze
萗 ce
蓛 ce
遪 ce
嵾 cen
梫 cen
梫 qin
埁 cen
岑 cen
梣 chen
橬 cen
涔 cen
涔 qian
涔 zan
硶 cen
硶 chen
笒 cen
噌 ceng
噌 cheng
层 ceng
層 ceng
嶒 ceng
曽 ceng
曾 ceng
曾 zeng
碀 cheng
竲 ceng
缯 ceng
缯 zeng
鄫 ceng
鄫 zeng
蹭 ceng
偛 cha
叉 cha
喳 cha
喳 zha
嗏 cha
嫅 cha
扠 cha
扠 zha
挿 cha
挿 zha
插 cha
揷 cha
杈 cha
疀 cha
肞 chai
艖 cha
銟 cha
鍤 cha
鎈 chuo
锸 cha
餷 cha
馇 cha
垞 cha
察 cha
嵖 cha
搽 cha
查 cha
查 zha
査 cha
査 zha
楂 cha
楂 zha
槎 cha
槎 zha
檫 cha
檫 sa
猹 zha
碴 cha
秅 cha
臿 cha
茬 cha
茶 cha
詧 cha
靫 cha
衩 cha
蹅 cha
鑔 cha
镲 cha
仛 tuo
侘 cha
刹 cha
刹 sha
剎 cha
剎 sha
奼 cha
姹 cha
岔 cha
差 cha
差 chai
汊 cha
紁 cha
訍 cha
詫 cha
詫 du
诧 cha
诧 du
偨 ci
拆 chai
芆 chai
釵 cha
釵 chai
钗 cha
钗 chai
侪 chai
儕 chai
喍 chai
柴 chai
犲 cai
犲 chai
祡 chai
豺 chai
茝 chai
茝 zhi
囆 chai
瘥 chai
瘥 cuo
虿 chai
蠆 chai
袃 chai
嬓 jiao
惉 chan
惉 zhan
掺 can
掺 chan
掺 shan
掺 xian
搀 chan
攙 chan
梴 chan
欃 chan
脠 shan
袩 chan
襜 chan
覘 chan
觇 chan
辿 chan
鋓 chan
僝 chan
劖 chan
単 dan
單 chan
單 dan
單 shan
嚵 chan
壥 chan
婵 chan
嬋 chan
巉 chan
廛 chan
棎 chan
毚 chan
湹 chan
潹 chan
潺 chan
澶 chan
瀍 chan
瀺 chan
煘 chan
獑 chan
磛 chan
禅 chan
禅 shan
禪 chan
禪 shan
緾 chan
繵 chan
纏 chan
纒 chan
缠 chan
艬 chan
蝉 chan
蝉 shan
蟬 chan
蟬 shan
蟾 chan
誗 chan
讒 chan
谗 chan
躔 chan
躔 zhan
鄽 chan
酁 chan
鋋 chan
鋋 yan
鐔 xin
鑱 chan
镡 xin
镵 chan
饞 chan
馋 chan
丳 chan
产 chan
冁 chan
刬 chan
剗 chan
剷 chan
啴 chan
啴 tan
嘽 chan
嘽 tan
囅 chan
嵼 chan
幝 chan
摌 chan
旵 chan
浐 chan
滻 chan
灛 chan
燀 chan
燀 dan
產 chan
産 chan
簅 chan
繟 chan
蒇 chan
蕆 chan
諂 chan
譂 chan
讇 chan
谄 chan
醦 shan
鏟 chan
铲 chan
閳 chan
闡 chan
阐 chan
骣 chan
儳 chan
忏 chan
懴 chan
懺 chan
硟 chan
羼 chan
韂 chan
顫 chan
顫 zhan
伥 chang
倀 chang
娼 chang
昌 chang
晿 chang
淐 chang
猖 chang
琩 chang
菖 chang
裮 chang
錩 chang
锠 chang
閶 chang
阊 chang
鯧 chang
鲳 chang
鼚 chang
仧 chang
仧 zhang
偿 chang
償 chang
兏 chang
嘗 chang
嚐 chang
場 chang
塲 chang
嫦 chang
尝 chang
常 chang
徜 chang
瑺 chang
瓺 chang
甞 chang
粻 zhang
肠 chang
腸 chang
膓 chang
苌 chang
萇 chang
裳 chang
裳 shang
鋿 chang
鏛 chang
長 chang
長 zhang
镸 chang
长 chang
长 zhang
鱨 chang
鲿 chang
僘 chang
厂 chang
厂 han
厰 chang
场 chang
廠 chang
廠 han
惝 chang
惝 tang
敞 chang
昶 chang
氅 chang
鋹 chang
倡 chang
唱 chang
怅 chang
悵 chang
暢 chang
焻 chang
玚 chang
玚 yang
畅 chang
畼 chang
誯 chang
韔 chang
鬯 chang
剿 chao
剿 jiao
勦 chao
勦 jiao
弨 chao
怊 chao
抄 chao
摷 jiao
欩 chao
绰 chao
绰 chuo
罺 chao
訬 chao
訬 miao
超 chao
鈔 chao
钞 chao
嘲 chao
嘲 zhao
巢 chao
巣 chao
晁 chao
樔 chao
樔 jiao
潮 chao
濤 tao
謿 chao
謿 zhao
轈 chao
鄛 chao
鼂 chao
鼌 chao
吵 chao
巐 chao
炒 chao
煼 chao
眧 chao
禉 you
麨 chao
仦 chao
仯 chao
耖 chao
觘 chao
伡 che
俥 che
唓 che
砗 che
硨 che
莗 che
蛼 che
車 che
車 ju
车 che
车 ju
偖 che
奲 duo
扯 che
撦 che
勶 che
坼 che
屮 cao
屮 che
彻 che
徹 che
掣 che
撤 che
澈 che
烲 che
爡 che
瞮 che
硩 che
聅 che
轍 che
轍 zhe
迠 che
頙 ce
嗔 chen
嗔 tian
堔 shen
抻 chen
搷 shen
搷 tian
棽 chen
棽 shen
琛 chen
瞋 chen
胂 shen
諃 chen
謓 chen
賝 chen
郴 chen
郴 lan
䟢 nian
伔 dan
伔 shen
塵 chen
娠 shen
宸 chen
尘 chen
屒 chen
忱 chen
愖 chen
敐 chen
敶 zhen
晨 chen
曟 chen
樄 chen
沉 chen
煁 chen
煁 shen
臣 chen
茞 chen
莀 chen
莐 chen
蔯 chen
薼 chen
螴 chen
訦 chen
訦 shen
諶 chen
諶 shen
谌 chen
谌 shen
軙 chen
軙 qi
辰 chen
迧 chen
迧 zhen
鈂 chen
陈 chen
陈 zhen
陳 chen
陳 zhen
霃 chen
鷐 chen
麎 chen
墋 chen
捵 chen
碜 ca
碜 chen
磣 ca
磣 chen
裖 zhen
贂 chen
趻 chen
踸 chen
鍖 chen
鍖 zhen
儭 chen
嚫 chen
夦 chen
榇 chen
櫬 chen
疢 chen
称 chen
称 cheng
稱 chen
稱 cheng
穪 cheng
藽 chen
衬 chen
襯 chen
讖 chan
讖 chen
谶 chan
谶 chen
趁 chen
趂 chen
齓 chen
齔 chen
龀 chen
偁 cheng
埥 cheng
崝 zheng
憆 cheng
憆 zheng
摚 tang
撐 cheng
撑 cheng
柽 cheng
柽 jue
棦 cheng
橕 cheng
檉 cheng
檉 jue
泟 cheng
浾 cheng
湞 cheng
湞 zhen
爯 cheng
牚 cheng
牜 niu
琤 cheng
瞠 cheng
瞠 zheng
竀 cheng
緽 cheng
蛏 cheng
蟶 cheng
赪 cheng
赬 cheng
鏿 cheng
鐺 cheng
鐺 dang
