厑 aesi
卦 gua
啩 gua
坬 gua
挂 gua
掛 gua
絓 gua
罣 gua
罫 gua
罫 guai
褂 gua
詿 gua
诖 gua
髺 gua
髺 kuo
乖 guai
拐 guai
枴 guai
柺 guai
箉 guai
叏 guai
夬 guai
廥 kuai
怪 guai
恠 guai
旝 guai
旝 kuai
癐 guai
倌 guan
关 guan
官 guan
棺 guan
瘝 guan
癏 guan
矜 guan
矜 jin
矜 qin
窤 guan
綸 guan
綸 lun
纶 guan
纶 lun
莞 guan
莞 wan
蒄 guan
覌 guan
観 guan
觀 guan
观 guan
関 guan
闗 guan
關 guan
鰥 guan
鱞 guan
鳏 guan
琯 guan
痯 guan
筦 guan
管 guan
舘 guan
輨 guan
錧 guan
館 guan
馆 guan
鳤 guan
丱 guan
冠 guan
悹 guan
悺 guan
惯 guan
慣 guan
掼 guan
摜 guan
樌 guan
毌 guan
泴 guan
涫 guan
潅 guan
潅 huan
灌 guan
灌 huan
爟 guan
瓘 guan
盥 guan
矔 guan
礶 guan
祼 guan
罆 guan
罐 guan
貫 guan
貫 wan
贯 guan
贯 wan
遦 guan
鏆 guan
鑵 guan
雚 guan
鱹 guan
鸛 guan
鹳 guan
侊 guang
僙 guang
光 guang
咣 guang
垙 guang
姯 guang
桄 guang
洸 guang
洸 huang
灮 guang
炗 guang
炚 guang
炛 guang
烡 guang
珖 guang
胱 guang
茪 guang
輄 guang
銧 guang
黆 guang
广 guang
廣 guang
犷 guang
犷 jing
獷 guang
獷 jing
櫎 guang
櫎 huang
矌 kuang
臦 guang
臩 guang
逛 guang
亀 gui
傀 gui
傀 kui
圭 gui
妫 gui
媯 gui
嫢 gui
嬀 gui
帰 gui
归 gui
摫 gui
敮 gui
敮 xia
椝 gui
槣 qi
槻 gui
槼 gui
歸 gui
溈 gui
溈 wei
潙 wei
珪 gui
瑰 gui
璝 gui
瓌 gui
皈 gui
硅 gui
硅 he
硅 huo
硅 xi
窐 gui
窐 wa
胿 gui
胿 kui
膭 gui
袿 gui
規 gui
规 gui
邽 gui
郌 gui
閨 gui
闺 gui
鬶 gui
鬹 gui
鮭 gui
鮭 xie
鲑 gui
鲑 xie
鴂 jue
龜 gui
龜 jun
龜 qiu
龟 gui
龟 jun
龟 qiu
佹 gui
匦 gui
匭 gui
厬 gui
垝 gui
姽 gui
宄 gui
庋 gui
庪 gui
庪 ji
恑 gui
攱 gui
晷 gui
氿 gui
癸 gui
祪 gui
簋 gui
蛫 gui
蟡 gui
觤 gui
詭 gui
诡 gui
軌 gui
轨 gui
陒 gui
鬼 gui
刽 gui
刿 gui
劊 gui
劌 gui
匮 gui
匮 kui
嶡 gui
巜 gui
巜 kuai
攰 gui
昋 gui
暩 gui
柜 gui
柜 ju
桂 gui
桧 gui
桧 hui
桧 kuai
楿 xiang
檜 gui
檜 hui
檜 kuai
櫃 gui
櫃 ju
溎 gui
炅 gui
炅 jiong
炔 que
猤 ji
瞆 gui
瞆 kui
筀 gui
蓕 gui
襘 gui
貴 gui
贵 gui
跪 gui
鞼 gui
鱖 gui
鱥 gui
鳜 gui
裩 gun
丨 gun
掍 gun
掍 hun
滚 gun
滾 gun
磙 gun
緄 gun
緄 hun
绲 gun
绲 hun
蓘 gun
蔉 gun
衮 gun
袞 gun
輥 gun
辊 gun
鮌 gun
鯀 gun
鲧 gun
棍 gun
棍 hun
璭 gun
睴 gun
謴 guan
呙 guo
呙 kuai
呙 wai
咼 guo
咼 kuai
咼 wai
啯 guo
嘓 guo
埚 guo
埻 zhun
堝 guo
墎 guo
崞 guo
彍 kuo
涡 guo
涡 wo
渦 guo
渦 wo
濄 guo
濄 wo
聒 gua
聒 guo
蝈 guo
蝈 yu
蟈 guo
蟈 yu
過 guo
過 huo
郭 guo
鈛 guo
鍋 guo
锅 guo
囯 guo
囶 guo
囻 guo
国 guo
圀 guo
國 guo
帼 guo
幗 guo
慖 guo
掴 guo
摑 guo
漍 guo
簂 guo
聝 guo
腘 guo
膕 guo
虢 guo
馘 guo
馘 xu
惈 guo
果 guo
椁 guo
槨 guo
淉 guo
猓 guo
猓 luo
粿 guo
綶 guo
菓 guo
蜾 guo
蜾 luo
裹 guo
輠 guo
輠 hua
輠 hui
錁 guo
錁 ke
錁 kua
鐹 guo
餜 guo
馃 guo
腂 guo
过 guo
过 huo
哈 ha
鉿 ha
鉿 ke
铪 ha
铪 ke
蝦 xia
咍 hai
咳 hai
咳 ke
嗨 hai
孩 hai
还 hai
还 huan
還 hai
還 huan
頦 ke
颏 ke
骸 gai
骸 hai
海 hai
烸 hai
酼 hai
醢 hai
亥 hai
嗐 hai
害 hai
害 he
氦 hai
餀 hai
饚 hai
駭 hai
骇 hai
唅 han
嫨 han
憨 han
炶 han
甝 han
蚶 han
谽 han
酣 han
頇 an
頇 han
顸 an
顸 han
馠 han
魽 han
鼾 han
佄 han
函 han
凾 han
含 han
圅 han
娢 han
寒 han
崡 han
晗 han
梒 han
涵 han
焓 han
琀 han
筨 han
邗 han
邯 han
鋡 han
韓 han
韩 han
喊 han
嚂 han
嚂 lan
浫 han
罕 han
蔊 han
豃 han
闞 kan
傼 han
哻 han
垾 han
屽 han
悍 han
憾 han
扞 gan
扞 han
捍 han
撖 han
撖 qian
撼 han
攌 han
攌 huan
旱 han
晘 han
晥 han
暵 han
汉 han
汗 han
涆 han
淊 yan
漢 han
澏 han
瀚 han
焊 han
熯 han
猂 han
皔 han
睅 han
翰 han
莟 han
菡 han
蛿 han
蜭 han
螒 han
譀 han
釬 gan
釬 han
銲 han
鋎 han
閈 han
闬 han
雗 han
頜 ge
頜 he
頷 han
顄 han
颔 han
馯 han
駻 han
鶾 han
夯 ben
夯 hang
忼 kang
吭 hang
吭 keng
斻 hang
杭 hang
桁 hang
桁 heng
筕 hang
筕 xing
絎 hang
絎 heng
绗 hang
绗 heng
航 hang
苀 hang
蚢 hang
行 hang
行 xing
貥 hang
迒 hang
雽 xing
頏 hang
魧 hang
鸻 heng
巷 hang
巷 xiang
沆 hang
侾 hao
嚆 hao
蒿 gao
蒿 hao
薅 hao
儫 hao
勂 hao
嗥 hao
嘷 hao
噑 hao
嚎 hao
壕 hao
椃 hao
毫 hao
濠 hao
狢 he
獆 hao
獋 hao
獔 hao
籇 hao
號 hao
虠 jiao
蠔 hao
諕 hao
諕 xia
譹 hao
譹 xia
豪 hao
貉 hao
貉 he
貉 ma
貉 mo
鶴 he
好 hao
恏 hao
郝 hao
郝 shi
傐 hao
号 hao
哠 hao
峼 hao
悎 hao
昊 hao
昦 hao
晧 hao
暤 hao
暭 hao
曍 hao
浩 hao
淏 hao
滈 hao
澔 hao
瀥 hao
灏 hao
灝 hao
皓 hao
皓 hui
皜 gao
皜 hao
皞 hao
皡 hao
皥 hao
秏 hao
耗 hao
聕 hao
薃 hao
鄗 hao
顥 hao
颢 hao
鰝 hao
呵 he
喝 he
嗬 he
峆 he
抲 he
訶 he
诃 he
何 he
劾 he
合 he
咊 he
咊 huo
和 he
和 huo
哬 he
啝 he
姀 he
廅 he
惒 he
曷 he
柇 he
核 he
核 hu
楁 he
毼 he
河 he
涸 hao
涸 he
滆 ge
滆 he
澕 he
熆 he
盇 he
盉 he
盍 he
盍 ke
盒 an
盒 he
礉 he
禾 he
秴 he
篕 he
翮 he
翮 li
荷 he
萂 he
蒚 he
蚵 he
蚵 ke
螛 he
覈 he
訸 he
詥 he
貈 hao
貈 he
貈 ma
貈 mo
趷 ke
釛 he
鉌 he
閡 gai
閡 he
闔 ge
闔 he
阂 gai
阂 he
阖 ge
阖 he
鞨 he
鞨 mo
餲 ai
餲 he
饸 he
饸 jia
鶡 he
鹖 he
齕 he
龁 he
龢 he
龢 huo
佫 he
嗃 he
嗃 xiao
嚇 he
嚇 xia
壑 he
壑 huo
寉 que
暍 he
暍 ye
焃 he
煂 he
熇 he
爀 he
猲 he
猲 xie
癋 he
皬 he
碋 he
翯 he
蠚 he
蠚 ruo
袔 he
褐 he
賀 he
贺 he
赫 he
隺 he
靎 he
靏 he
鶮 gu
鸖 he
鹤 he
嘿 hei
嘿 mo
潶 hei
黑 hei
黒 hei
拫 hen
痕 gen
痕 hen
鞎 hen
很 hen
狠 hen
詪 hen
恨 hen
亨 heng
亨 peng
哼 heng
悙 heng
脝 heng
諻 heng
佷 hen
姮 heng
恒 heng
揘 heng
楻 heng
横 heng
橫 heng
珩 heng
蘅 heng
衡 heng
誙 heng
誙 keng
鑅 heng
鴴 heng
黉 hong
啈 heng
堼 feng
撔 heng
澋 heng
澋 jing
叿 hong
吽 hong
吽 hou
吽 ou
呍 hong
哄 hong
哅 xiong
揈 hong
渹 hong
渹 qing
烘 hong
焢 hong
硡 hong
薨 hong
訇 heng
訇 hong
訇 jun
谾 hong
軣 hong
輷 hong
轟 hong
轰 hong
鍧 hong
閧 hong
顭 hong
魟 gong
魟 hong
仜 hong
垬 hong
妅 hong
娂 hong
宏 hong
宖 hong
峵 hong
弘 hong
彋 hong
汯 hong
泓 hong
洪 hong
浤 hong
渱 hong
潂 hong
灴 hong
玒 hong
玜 gong
瓨 hong
瓨 jiang
硔 hong
竑 hong
竤 hong
篊 hong
粠 hong
紅 gong
紅 hong
紘 hong
紭 hong
綋 hong
红 gong
红 hong
纮 hong
翃 hong
翝 hong
耾 hong
舼 hong
苰 hong
荭 hong
葒 hong
葓 hong
蕻 hong
虹 hong
訌 hong
讧 hong
谹 hong
谼 hong
鈜 hong
鉷 hong
鋐 hong
閎 hong
闳 hong
霟 hong
鞃 hong
鴻 hong
鸿 hong
黌 hong
嗊 gong
嗊 hong
晎 hong
澒 gong
澒 hong
鍙 hong
鬨 hong
齁 hou
侯 hou
喉 hou
帿 hou
猴 hou
瘊 hou
睺 hou
矦 hou
篌 hou
糇 hou
翭 hou
葔 hou
銗 hou
銗 xiang
鍭 hou
餱 hou
骺 gou
骺 hou
鯸 hou
吼 hou
犼 hou
候 hou
厚 hou
后 hou
垕 hou
堠 hou
後 hou
洉 hou
缿 hou
缿 xiang
豞 hou
逅 gou
逅 hou
郈 hou
鄇 hou
鮜 hou
鱟 hou
鲎 hou
鲘 hou
乎 hu
匢 hu
匫 hu
吰 hong
呼 hu
呼 xu
唿 hu
啒 hu
嘑 hu
嘑 la
垀 hu
寣 hu
峘 hu
峘 huan
幠 hu
忽 hu
恗 kua
惖 ti
惚 bu
惚 hu
戯 hu
戯 xi
戲 hu
戲 xi
昒 hu
曶 hu
歑 hu
歘 chua
歘 xu
泘 hu
淲 piao
淴 hu
淴 wa
滹 hu
烀 hu
烼 xu
猢 hu
膴 hu
膴 mei
膴 wu
苸 hu
虍 hu
虖 hu
謼 hu
軤 hu
轷 hu
雐 hu
餬 hu
喖 hu
嘝 hu
囫 hu
壶 hu
壷 hu
壺 hu
媩 hu
弧 hu
抇 gu
抇 hu
搰 gu
搰 hu
斛 hu
楜 hu
槲 hu
湖 hu
瀫 hu
焀 hu
煳 hu
狐 hu
瑚 hu
瓳 hu
箶 hu
糊 hu
絗 hu
縠 hu
胡 hu
葫 hu
蔛 hu
蝴 hu
螜 hu
衚 hu
觳 hu
醐 hu
鍸 hu
頶 hu
鬍 hu
魱 hu
鰗 hu
鶘 hu
鶦 hu
鹕 hu
乕 hu
唬 hu
汻 hang
浒 hu
浒 xu
滸 hu
滸 xu
琥 hu
萀 hu
虎 hu
虝 hu
許 hu
許 xu
互 hu
冱 hu
冴 hu
嚛 hu
婟 hu
嫭 hu
嫮 hu
岵 hu
帍 hu
弖 hu
怘 gu
怙 hu
戶 hu
户 hu
戸 hu
戽 hu
扈 hu
护 hu
摢 hu
昈 hu
枑 hu
楛 hu
楛 ku
槴 hu
沍 hu
沪 hu
滬 hu
熩 hu
瓠 gu
瓠 hu
瓠 huo
祜 hu
笏 hu
笏 wen
笏 wu
簄 hu
綔 hu
臛 huo
蔰 hu
謢 lu
護 hu
豰 hu
鄠 hu
頀 hu
頀 huo
鳠 hu
鳠 huo
鳸 hu
鸌 hu
鹱 hu
哗 hua
嘩 hua
砉 hua
砉 huo
砉 xu
花 hua
芲 hua
蕐 hua
錵 hua
鷨 hua
劃 hua
华 hua
崋 hua
樺 hua
浍 hui
浍 kuai
滑 gu
滑 hua
澮 hui
澮 kuai
狯 hua
狯 kuai
猾 hua
磆 hua
華 hua
螖 hua
譁 hua
豁 hua
豁 huo
釫 hua
鏵 hua
铧 hua
驊 hua
骅 hua
划 hua
化 hua
婳 hua
嫿 hua
嬅 hua
摦 hua
杹 hua
桦 hua
槬 hua
澅 hua
画 hua
畫 hua
畵 hua
繣 hua
舙 hua
觟 hua
觟 xie
話 hua
諣 hua
譮 hua
话 hua
竵 huai
佪 huai
佪 hui
徊 huai
徊 hui
怀 huai
懐 huai
懷 huai
槐 huai
櫰 huai
淮 huai
瀤 huai
耲 huai
褢 huai
褱 huai
踝 hua
踝 huai
咶 huai
咶 shi
坏 huai
坏 pei
坏 pi
壊 huai
壞 huai
壞 pei
壞 pi
孬 huai
孬 nao
蘹 huai
蘾 huai
諙 huai
懽 huan
欢 huan
歓 huan
歡 huan
犿 fan
犿 huan
獾 huan
獾 quan
讙 huan
讙 xuan
貛 huan
酄 huan
驩 huan
鴅 huan
鵍 huan
圜 huan
圜 yuan
垸 huan
嬛 huan
嬛 qiong
寏 huan
寰 huan
懁 huan
懁 xuan
捖 wan
桓 huan
梡 hun
梡 kuan
洹 huan
澴 huan
狟 huan
环 huan
環 huan
瓛 huan
糫 huan
繯 huan
缳 huan
羦 huan
肒 huan
苋 huan
苋 wan
苋 xian
荁 huan
萈 huan
萑 huan
豲 huan
豲 yuan
貆 huan
郇 huan
郇 xun
鍰 huan
鐶 huan
锾 huan
镮 huan
闤 huan
阛 huan
雈 huan
鬟 huan
鹮 huan
澣 huan
睆 huan
緩 huan
缓 huan
藧 huan
輐 huan
輐 wan
唤 huan
喚 huan
喛 he
喛 huan
喛 xuan
喛 yuan
嚾 huan
奂 huan
奐 huan
宦 huan
嵈 huan
幻 huan
患 huan
愌 huan
换 huan
換 huan
擐 huan
梙 huan
槵 huan
浣 huan
涣 huan
涣 hui
渙 huan
渙 hui
漶 huan
烉 huan
焕 huan
煥 huan
瑍 huan
痪 huan
瘓 huan
瞣 wan
脘 wan
觨 hun
豢 huan
轘 huan
逭 huan
鯇 huan
鯇 wan
鰀 huan
鲩 huan
鲩 wan
嚝 huang
塃 huang
巟 huang
慌 huang
朚 huang
肓 huang
荒 huang
衁 huang
偟 huang
凰 huang
喤 huang
堭 huang
墴 huang
媓 huang
崲 huang
徨 huang
惶 huang
撗 huang
湟 huang
湟 kuang
潢 guang
潢 huang
煌 huang
熿 huang
獚 huang
瑝 huang
璜 huang
癀 huang
皇 huang
磺 huang
穔 huang
篁 huang
簧 huang
艎 huang
葟 huang
蝗 huang
蟥 huang
趪 huang
遑 huang
鍠 huang
鐄 heng
锽 huang
隍 huang
韹 heng
餭 huang
騜 huang
鰉 huang
鱑 huang
鳇 huang
鷬 huang
黃 huang
黄 huang
兤 huang
奛 xiang
宺 huang
幌 huang
怳 huang
恍 huang
晃 huang
榥 huang
滉 huang
熀 huang
縨 huang
詤 huang
謊 huang
谎 huang
鎤 huang
愰 huang
曂 huang
皝 huang
皩 huang
軦 huang
咴 hui
噅 hui
噕 hui
婎 hui
媈 hui
幑 hui
徽 hui
恢 hui
拻 hui
挥 hui
揮 hui
撝 hui
晖 hui
暉 hui
洃 hui
瀈 hui
灰 hui
灳 hui
烣 hui
煇 hui
煇 xun
煇 yun
珲 hui
珲 hun
琿 hui
琿 hun
睳 xi
禈 hui
翚 hui
翬 hui
虺 hui
袆 hui
褌 kun
褘 hui
詼 hui
诙 hui
豗 hui
輝 hui
辉 hui
隓 hui
隳 hui
顪 hui
鰴 hui
麾 hui
鼿 wu
囘 hui
回 hui
囬 hui
廻 hui
廽 hui
恛 hui
洄 hui
痐 hui
茴 hui
藱 hui
蚘 hui
蛔 hui
蛕 hui
蜖 hui
迴 hui
逥 hui
鮰 hui
悔 hui
檓 hui
毀 hui
毁 hui
毇 hui
烠 hui
燬 hui
誨 hui
譭 hui
賄 hui
㻅 hui
会 hui
会 kuai
僡 hui
儶 hui
匯 hui
卉 hui
叀 hui
叀 zhuan
哕 hui
哕 yue
喙 hui
嘒 hui
噦 hui
噦 yue
噧 hui
嚖 hui
圚 hui
嬇 hui
寭 hui
廆 gui
廆 hui
廆 wei
彗 hui
彗 sui
彙 hui
彙 wei
彚 hui
恚 hui
恵 hui
惠 hui
慧 hui
憓 hui
晦 hui
暳 hui
會 hui
會 kuai
槥 hui
橞 hui
櫘 hui
殨 hui
汇 hui
汇 wei
泋 hui
湏 hui
滙 hui
潓 hui
潰 kui
潰 xie
濊 hui
濊 huo
濊 wei
烩 hui
燴 hui
獩 hui
璯 hui
瞺 hui
禬 gui
禬 hui
禬 kuai
秽 hui
穢 hui
篲 hui
篲 sui
絵 hui
繐 hui
繐 sui
繢 hui
繪 gui
繪 hui
绘 gui
绘 hui
缋 hui
翙 hui
翽 hui
芔 hui
荟 hui
蔧 hui
蔧 sui
蕙 hui
薈 hui
蟪 hui
詯 hui
詴 wei
諱 hui
譓 hui
譿 hui
讳 hui
诲 hui
贿 hui
鏸 hui
鐬 hui
钺 hui
钺 yue
闠 hui
阓 hui
靧 hui
韢 hui
頮 hui
颒 hui
餯 hui
饖 hui
婚 hun
惛 hun
惽 hun
敯 hun
敯 min
昏 hun
昏 min
昬 hun
昬 min
棔 hun
殙 hun
涽 hun
睧 hun
睯 hun
荤 hun
荤 xun
葷 hun
葷 xun
閽 hun
阍 hun
堚 hun
忶 hun
棞 hun
楎 hui
楎 hun
浑 hun
混 hun
渾 hun
祵 hun
祵 kun
繉 hun
轋 hun
顐 hun
餛 hun
餛 kun
餫 hun
餫 yun
馄 hun
馄 kun
魂 hun
鼲 hun
睔 gun
睔 hun
鯶 huan
俒 hun
倱 hun
圂 hun
慁 hun
溷 hun
焝 hun
諢 hun
诨 hun
劐 huo
嚄 huo
耠 he
耠 huo
锪 huo
佸 huo
活 huo
秳 huo
萿 huo
鈥 huo
钬 huo
伙 huo
夥 huo
漷 kuo
火 huo
邩 huo
俰 he
剨 huo
咟 huo
嗀 huo
嚯 huo
嚿 huo
奯 huo
彟 huo
彠 huo
惑 huo
或 huo
或 yu
捇 huo
掝 huo
掝 xu
擭 hu
擭 huo
擭 wo
攉 huo
攉 que
旤 huo
曤 huo
楇 huo
檴 huo
沎 huo
湱 huo
濩 hu
濩 huo
瀖 huo
獲 huo
瓁 huo
癨 huo
眓 huo
矆 huo
矆 xue
矐 huo
矱 huo
矱 yue
礊 huo
祸 huo
禍 huo
穫 huo
耯 huo
臒 huo
艧 huo
获 huo
蒦 huo
藿 he
藿 huo
蠖 huo
蠖 yue
謋 huo
讗 huo
貨 huo
货 huo
鑊 huo
镬 huo
閄 huo
雘 huo
霍 huo
靃 huo
韄 huo
騞 huo
鱯 hu
鱯 huo
丌 ji
乩 ji
僟 ji
击 ji
刏 ji
剞 ji
勣 ji
叽 ji
咭 ji
唧 ji
喞 ji
嗘 ji
嘰 ji
圾 ji
基 ji
墼 ji
姬 ji
尐 ji
屐 ji
峜 ji
嵆 ji
嵇 ji
嵇 xi
幾 ji
擊 ji
朞 ji
朞 qi
机 ji
枅 ji
枅 jian
樍 ji
機 ji
櫅 ji
欚 li
毄 ji
激 ji
激 jiao
犄 ji
犄 yi
玑 ji
璣 ji
畸 ji
畸 qi
畿 ji
癘 li
癪 ji
矶 ji
磯 ji
禨 ji
积 ji
稘 ji
稽 ji
稽 qi
積 ji
竒 qi
笄 ji
筓 ji
箕 ji
簊 ji
緝 ji
緝 qi
績 ji
绩 ji
缉 ji
缉 qi
羁 ji
羇 ji
羈 ji
耭 ji
聻 jian
肌 ji
脔 luan
芨 ji
萁 ji
萁 qi
虀 ji
虮 ji
虮 qi
蛣 jie
襀 ji
覉 ji
覊 ji
觭 ji
觭 qi
諅 ji
譏 ji
譤 ji
讥 ji
賫 ji
賫 qi
賷 ji
賷 qi
赍 ji
赍 qi
跡 ji
跻 ji
踦 ji
踦 qi
踦 yi
蹟 ji
躋 ji
躸 ji
迹 ji
銈 ji
鐖 ji
鑇 ji
鑙 ji
隮 ji
雞 ji
霙 ying
鞿 ji
韲 ji
飢 ji
饑 ji
饑 qi
饥 ji
饥 qi
鰿 ji
鳮 ji
鶏 ji
鷄 ji
鸄 ji
鸡 ji
齍 zi
齎 ji
齏 ji
齑 ji
亟 ji
亟 qi
亼 ji
伋 ji
佶 ji
偮 ji
卙 ji
即 ji
卽 ji
及 ji
叝 gao
吉 ji
堲 ji
塉 ji
姞 ji
嫉 ji
岌 ji
嵴 ji
嶯 ji
庴 ji
彶 ji
忣 ji
急 ji
愱 ji
戢 ji
揤 ji
撃 ji
擮 ji
极 ji
棘 ji
楖 ji
楖 zhi
楫 ji
極 ji
槉 ji
橶 ji
檝 ji
殛 ji
汲 ji
湒 ji
漃 ji
潗 ji
濈 ji
焏 ji
焏 qi
狤 ji
疾 ji
瘠 ji
瘠 zi
皍 ji
礏 ji
秸 ji
秸 jie
笈 ji
箿 ji
籍 ji
級 ji
级 ji
耤 ji
耤 jie
脊 ji
膌 ji
莋 ji
莋 zuo
蒺 ji
蓻 ji
蕀 ji
蕺 ji
蕺 qie
藉 ji
藉 jie
蝍 ji
螏 ji
衱 jie
襋 ji
觙 fan
觙 ji
踖 ji
蹐 ji
輯 ji
轚 ji
辑 ji
郆 ji
鈒 ji
鈒 sa
銡 ji
鍓 ji
鏶 ji
钑 ji
钑 sa
集 ji
雦 ji
雧 ji
霵 ji
鞊 ji
鴶 ji
鶺 ji
鹡 ji
丮 ji
几 ji
妀 ji
己 ji
戟 ji
挤 ji
掎 ji
撠 ji
擠 ji
泲 ji
濟 ji
濟 qi
犱 ji
穖 ji
蟣 ji
蟣 qi
魕 ji
魢 ji
鱾 ji
麂 ji
伎 ji
伎 qi
偈 ji
偈 jie
兾 ji
冀 ji
刉 ji
剂 ji
剤 ji
劑 ji
哜 ji
嚌 ji
坖 ji
垍 ji
塈 ji
塈 xi
墍 ji
墍 xi
妓 ji
季 ji
寂 ji
寄 ji
彐 ji
彑 ji
忌 ji
悸 ji
惎 ji
懻 ji
技 ji
斉 qi
斊 qi
旡 ji
既 ji
旣 ji
暨 ji
曁 ji
梞 ji
檕 ji
檕 xi
檵 ji
檵 qi
櫭 ji
櫭 jie
洎 ji
济 ji
济 qi
済 ji
漈 ji
瀱 ji
璾 ji
痵 ji
瘈 chi
瘈 zhi
癠 ji
瞡 ji
祭 ji
祭 zhai
禝 ji
稩 ji
稷 ji
稷 ze
穄 ji
穊 ji
穧 ji
紀 ji
継 ji
繋 xi
繫 ji
繫 xi
繼 ji
纪 ji
继 ji
罽 ji
臮 ji
芰 ji
荠 ji
荠 qi
萕 qi
葪 ji
葪 jie
蓟 ji
蔇 ji
蔇 xi
薊 ji
薺 ji
薺 qi
蘎 ji
蘮 ji
蘻 ji
裚 ji
褀 ji
覬 ji
觊 ji
計 ji
記 ji
誋 ji
计 ji
记 ji
跽 ji
际 ji
際 ji
霁 ji
霽 ji
騎 ji
騎 qi
驥 ji
骥 ji
髻 ji
髻 jie
鬾 ji
魝 ji
鮆 ji
鯚 ji
鯯 zhi
鯽 ji
鯽 zei
鰶 ji
鱀 ji
鱭 ji
鲚 ji
鲫 ji
鲫 zei
鵋 ji
齌 ji
乫 jia
佳 jia
傢 jia
加 jia
嗧 jia
嗧 lun
嘉 jia
夹 jia
夾 jia
宊 tu
家 jia
幏 jia
拁 jia
枷 jia
毠 jia
泇 jia
浃 jia
浹 jia
犌 jia
猳 jia
珈 jia
痂 jia
笳 jia
耞 jia
腵 jia
茄 jia
茄 qie
葭 jia
葭 xia
袈 jia
豭 jia
貑 jia
跏 jia
迌 tu
迦 jia
迦 xie
鉫 jia
鎵 jia
镓 jia
鴐 jia
麚 jia
唊 jia
唊 qian
圿 jia
埉 jia
恝 jia
戛 jia
戞 jia
扴 jia
挾 jia
挾 xia
挾 xie
揳 xie
梜 jia
硈 jia
舺 jia
舺 xia
荚 jia
莢 jia
蛱 jia
蛺 jia
袷 jia
袷 jie
裌 jia
跲 jia
郏 jia
郟 jia
鋏 jia
铗 jia
鞂 jia
鞈 ge
鞈 jia
鞈 ta
頬 jia
頰 jia
颊 jia
餄 he
餄 jia
鵊 jia
假 jia
叚 jia
婽 jia
岬 jia
徦 jia
捁 jiao
撟 jiao
撹 jiao
斚 jia
斝 jia
椵 jia
榎 jia
槚 jia
檟 jia
玾 jia
甲 jia
瘕 jia
瘕 xia
矯 jiao
絞 jiao
絞 xiao
繳 he
繳 jiao
繳 zhuo
胛 jia
贾 gu
贾 jia
踋 jiao
踋 jue
鉀 jia
鉸 jiao
钾 jia
餃 jiao
价 jia
価 jia
價 jia
嫁 jia
架 jia
榢 jia
稼 jia
駕 jia
驾 jia
兼 jian
冿 jian
囏 jian
坚 jian
堅 jian
奸 jian
姦 jian
姧 jian
尖 jian
幵 qian
廌 zhi
惤 jian
戋 jian
戔 jian
揃 jian
搛 jian
椷 han
椷 jian
樫 jian
櫼 jian
歼 jian
殱 jian
殲 jian
淺 jian
淺 qian
湔 jian
溅 jian
漸 jian
濺 jian
瀐 jian
瀸 jian
煎 jian
熞 jian
熸 jian
牋 jian
犍 jian
犍 qian
猏 jian
玪 jian
监 jian
監 jian
睷 jian
碊 jian
礛 jian
稴 lian
笺 jian
箋 jian
篯 jian
籛 jian
緘 jian
縑 jian
缄 jian
缣 jian
肩 jian
肩 xian
艰 jian
艱 jian
菅 guan
菅 jian
菺 jian
葌 jian
蒹 jian
蕑 jian
蕳 jian
虃 jian
譼 jian
譼 kan
豜 jian
豣 jian
豣 yan
鈃 jian
鈃 xing
銒 jian
銒 xing
鑯 jian
钘 jian
钘 xing
間 jian
閚 zhan
间 jian
靬 jian
鞬 jian
鞯 jian
韀 jian
韉 jian
餰 jian
餰 zhan
馢 jian
騝 jian
鬋 jian
魐 jian
鰜 jian
鰹 jian
鲣 jian
鳒 jian
鳽 jian
鵳 jian
鶼 jian
鶼 qian
鹣 jian
鹣 qian
麉 jian
俭 jian
倹 jian
偂 jian
儉 jian
减 jian
剪 jian
囝 jian
囝 nan
堿 jian
寋 jian
弿 jian
戩 jian
戬 jian
拣 jian
挸 jian
捡 jian
捡 lian
揀 jian
撿 jian
撿 lian
暕 jian
暕 lan
枧 jian
柬 jian
梘 jian
检 jian
検 jian
檢 jian
減 jian
湕 jian
瀽 jian
瑐 jian
睑 jian
瞼 jian
硷 jian
硷 xian
碱 jian
碱 xian
礆 jian
礆 xian
笕 jian
筧 jian
简 jian
簡 jian
絸 jian
繭 jian
翦 jian
茧 jian
藆 jian
蠒 jian
裥 jian
襇 jian
襺 jian
詃 quan
謇 jian
謭 jian
譾 jian
谫 jian
趼 jian
趼 yan
蹇 jian
蹇 qian
醎 mian
鋄 wan
錽 wan
鎫 jian
鎫 wan
鐗 jian
鐧 jian
锏 jian
鰔 jian
鹸 jian
鹻 jian
鹼 jian
鹼 xian
件 jian
侟 jian
俴 jian
健 jian
僭 jian
剑 jian
剣 jian
剱 jian
劍 jian
劎 jian
劒 jian
劔 jian
建 jian
徤 jian
擶 jian
旔 jian
栫 jian
楗 jian
榗 jian
槛 jian
槛 kan
檻 jian
檻 kan
毽 jian
洊 jian
涧 jian
渐 jian
澗 jian
瀳 jian
牮 jian
珔 jian
瞷 jian
瞷 xian
磵 jian
礀 jian
箭 jian
糋 jian
糮 xian
繝 jian
腱 jian
腱 qian
臶 jian
臶 zun
舰 jian
艦 jian
荐 jian
蔪 jian
薦 jian
螹 chan
螹 jian
襉 jian
見 jian
見 xian
覵 jian
覸 jian
覸 xian
见 jian
见 xian
諓 jian
諫 jian
譖 jian
譖 zen
